sep=,
200823321,1,Sebastião Carlos Amaral Silva,7419
288770509,1,Vasco Jaime Rodrigues Henriques,2794
162761296,1,Diego Benjamim Magalhães Reis,0291
262410184,1,Leandro Ivan Barros Nogueira,3488
36008476,1,Edgar Guilherme Assunção Monteiro,9582
81151917,1,Rui Marco Branco Nogueira,0804
259662678,1,David Jaime Branco Gaspar,1305
93856189,1,Fábio José Oliveira Cruz,5361
38869908,1,Vicente Carlos Marques Henriques,0359
98201075,1,Jaime João Nunes Tavares,7358
133951524,1,Leandro Kevin Teixeira Mendes,5085
230845003,1,Tomás Brian da Horta Santos,8915
233411827,1,Lourenço Xavier Sousa Guerreiro,7410
245508202,1,Ismael Eduardo Barros Araújo,1429
107858564,1,Henrique Bernardo Baptista Costa,3107
62196054,1,Márcio Gonçalo Mota Amorim,2730
192879380,1,Jaime Octávio Morais Coelho,7056
43546269,1,Sebastião Mateus Antunes Vaz,3089
290059149,1,Nuno Duarte Pinto Assunção,3968
248607665,1,André José Costa Rocha,7450
37336971,1,Lucas Rúben Pinto Maia,3805
35549486,1,Kevin Diogo Ramos Correia,4605
127170409,1,Gil Brian Henriques Miranda,0359
79341752,1,Márcio Rafael Benancio Cavalo,3481
180679100,1,Marco Wilson Moura Marques,2015
220967549,1,Wilson Henrique Almeida Cruz,8527
284720059,1,Santiago Hugo Cardoso Baptista,7097
22314491,1,Brian Fábio Campos Machado,0726
144317896,1,Bernardo Gil Carneiro Costa,6694
129352707,1,Nuno David Jesus Valente,4919
256289540,1,Fábio Alexandre Branco Ferreira,1888
35904313,1,Rafael César Paiva Gonçalves,3700
193667033,1,Ivan Tomás Benancio Borges,6657
65186628,1,Bernardo Fernando Mendes Ferreira,9551
284462340,1,José Paulo Monteiro Nascimento,3203
178357780,1,Simão Bernardo Assunção Carneiro,6482
270503707,1,Gabriel André Domingues Morais,5107
282398196,1,Rafael Diogo Nunes Gaspar,3475
142291933,1,Isac Dinis Neves Mendes,1575
61854398,1,Kevin Cristiano Abreu Mendes,1041
172699719,1,Bruno Matias Gomes Loureiro,9101
288538773,1,Leandro Artur Paiva Vaz,9931
136976620,1,Alex Frederico Carneiro Almeida,0403
212370674,1,Tomás Bernardo Borges Cruz,7620
194321247,1,Ivan Simão Pacheco Andrade,5227
28884012,1,Paulo Gonçalo Coelho Figueiredo,0713
266293785,1,Mateus Gabriel Leite Torres,0361
78608349,1,Alexandre Enzo Campos Nunes,5569
209015831,1,Isaac Wilson Valente Alves,6554
182004414,1,Luís André Pinheiro Lourenço,1015
75066413,1,Leandro Bernardo Sá Jesus,1320
80159565,1,Ismael Frederico Ferreira Almeida,3528
167170690,1,Afonso António Henriques Pinto,1426
218874836,1,Frederico Mateus Teixeira Domingues,1726
188210529,1,David Jaime Pinheiro Simões,3523
44334679,1,Xavier Tomé Nascimento Rodrigues,7646
51237280,1,Artur Jaime Marques Cavalo,5479
31958436,1,Rui Joaquim Araújo Antunes,2382
32027084,1,Isac António Cardoso Gaspar,1864
87718854,1,Wilson Rui Cardoso Almeida,2377
149992968,1,Afonso Tomás Ferreira Nogueira,3789
294649178,1,Nuno Carlos Gaspar Neves,1251
12227604,1,Duarte Ian Jesus Campos,3304
274603040,1,Isac Márcio Nascimento Cavalo,8244
